"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24648","Should add items to cart and checkout","","Tue Jun 17 14:19:54 EDT 2025","passed","Tue Jun 17 14:20:19 EDT 2025","Add products to cart","tests/cart-checkout.spec.js","",""
"","10573","Should create new user account","","Tue Jun 17 14:19:54 EDT 2025","passed","Tue Jun 17 14:20:04 EDT 2025","Add New User","tests/register.spec.js","",""
